noc_2016,noc_title,harm.rank06,harm.rank16,harm.rank21,Diff 21 - 06,Diff 21 - 16,Skill Type,,,,,
621,Retail and wholesale trade managers,129.2625422,116.74492,122.6954723,-6.567069943,5.950552239,2,,,,,
2231,Civil engineering technologists and technicians,69.59513388,69.15290684,63.16932984,-6.425804041,-5.983576996,2,,,,,
711,Construction managers,81.07677641,71.5065804,74.71497333,-6.361803081,3.208392928,1,,,,,
712,Home building and renovation managers,81.07677641,71.5065804,74.71497333,-6.361803081,3.208392928,1,,,,,
5232,"Other performers, n.e.c.",474.9429778,404.4746192,468.6136985,-6.329279283,64.13907934,2,,,,,
9522,"Motor vehicle assemblers, inspectors and testers",257.0772963,265.6908388,251.0174834,-6.059812972,-14.67335547,5,,,,,
9526,Mechanical assemblers and inspectors,257.0772963,265.6908388,251.0174834,-6.059812972,-14.67335547,5,,,,,
2251,Architectural technologists and technicians,46.25922731,51.18929279,40.53731343,-5.721913874,-10.65197936,2,,,,,
6513,Food and beverage servers,413.422429,363.5284139,407.7792767,-5.643152277,44.25086287,5,,,,,
2253,Drafting technologists and technicians,48.21259123,43.67832589,42.79730873,-5.415282507,-0.881017168,2,,,,,
3215,Medical radiation technologists,155.1223112,114.5833288,149.990583,-5.131728199,35.40725422,2,,,,,
4215,Instructors of persons with disabilities,222.9532002,212.7003941,218.2046309,-4.748569251,5.504236804,2,,,,,
1521,Shippers and receivers,199.334512,255.6351279,194.9709705,-4.36354144,-60.66415732,5,,,,,
7522,Public works maintenance equipment operators and related workers,265.9357421,217.2896398,261.7255362,-4.210205941,44.43589637,5,,,,,
2283,Information systems testing technicians,17.0494975,11.87292338,13.41043865,-3.639058847,1.53751527,2,,,,,
2141,Industrial and manufacturing engineers,33.71445931,30.28853489,30.55916815,-3.155291161,0.270633257,1,,,,,
7245,Telecommunications line and cable workers,22.92305211,16.50906641,19.77539863,-3.147653474,3.266332221,2,,,,,
2134,Chemical engineers,9.363131378,14.05033032,7.078030055,-2.285101324,-6.972300266,1,,,,,
2147,Computer engineers (except software engineers and designers),6.676970634,7.6998298,4.541133455,-2.135837178,-3.158696345,1,,,,,
2151,Architects,34.61831939,55.57768315,33.19273043,-1.425588959,-22.38495272,1,,,,,
2143,Mining engineers,22.19805969,16.16744331,21.45877118,-0.739288503,5.291327871,1,,,,,
2144,Geological engineers,22.19805969,16.16744331,21.45877118,-0.739288503,5.291327871,1,,,,,
12,Senior government managers and officials,174.4724679,165.6366358,174.3141337,-0.158334178,8.677497905,2,,,,,
13,"Senior managers - financial, communications and other business services",174.4724679,165.6366358,174.3141337,-0.158334178,8.677497905,3,,,,,
14,"Senior managers - health, education, social and community services and membership organizations",174.4724679,165.6366358,174.3141337,-0.158334178,8.677497905,4,,,,,
16,"Senior managers - construction, transportation, production and utilities",174.4724679,165.6366358,174.3141337,-0.158334178,8.677497905,6,,,,,
9619,"Other labourers in processing, manufacturing and utilities",283.8169319,333.7738554,284.0207768,0.203844894,-49.75307861,6,,,,,
5131,"Producers, directors, choreographers and related occupations",86.83059444,91.1109552,87.08138231,0.250787874,-4.029572886,1,,,,,
3011,Nursing co-ordinators and supervisors,147.0452723,169.5644526,147.3944078,0.349135547,-22.1700448,0,,,,,
6541,Security guards and related security service occupations,288.8511709,149.8034679,289.7816941,0.930523195,139.9782262,5,,,,,
2111,Physicists and astronomers,21.82897527,23.78286012,22.82865327,0.99967801,-0.954206849,1,,,,,
2146,Aerospace engineers,7.148095972,6.918097028,8.201328676,1.053232703,1.283231648,1,,,,,
125,Other business services managers,165.7720758,123.4997799,166.9540723,1.181996472,43.45429237,2,,,,,
6532,Outdoor sport and recreational guides,200.5864776,277.3937875,201.9892576,1.402779951,-75.40452994,5,,,,,
113,Purchasing managers,102.8101827,121.9098051,104.2404975,1.4303148,-17.66930767,1,,,,,
3111,Specialist physicians,209.4103066,193.7295919,211.0476535,1.63734687,17.31806162,1,,,,,
2172,Database analysts and data administrators,13.57679515,7.870396323,15.4275799,1.85078475,7.557183577,1,,,,,
2174,Computer programmers and interactive media developers,5.616946012,4.305868482,7.648555539,2.031609527,3.342687056,1,,,,,
2133,Electrical and electronics engineers,8.839285714,13.50146416,11.56552779,2.726242078,-1.935936363,1,,,,,
6621,Service station attendants,160.018801,182.8588998,162.9165183,2.897717235,-19.94238154,6,,,,,
9521,Aircraft assemblers and aircraft assembly inspectors,221.0577438,256.2986625,224.0049924,2.947248649,-32.29367005,5,,,,,
7246,Telecommunications installation and repair workers,11.06136308,17.5144049,14.06772429,3.00636121,-3.446680611,2,,,,,
213,Computer and information systems managers,10.03993839,20.96166739,13.58952486,3.549586476,-7.372142527,1,,,,,
1512,Letter carriers,457.2647576,431.9345592,461.1747359,3.909978235,29.24017666,5,,,,,
4162,Economists and economic policy researchers and analysts,53.44657504,56.30320955,57.42755281,3.980977772,1.124343262,1,,,,,
8411,Underground mine service and support workers,286.5176528,178.3809938,291.8126377,5.294984924,113.4316439,4,,,,,
5224,Broadcast technicians,9.654238219,17.08122779,15.58147891,5.927240693,-1.499748874,2,,,,,
5225,Audio and video recording technicians,21.79821923,23.84875575,27.74491446,5.946695225,3.896158703,2,,,,,
2148,"Other professional engineers, n.e.c.",16.92171762,22.89538748,23.33097048,6.409252857,0.435582993,1,,,,,
5122,Editors,147.1511227,110.4333889,153.6427301,6.491607329,43.20934114,1,,,,,
4216,Other instructors,281.2307333,334.6096985,288.1396396,6.908906322,-46.47005891,2,,,,,
7333,Electrical mechanics,59.92704478,79.76938302,67.12830102,7.201256233,-12.641082,3,,,,,
1451,Library assistants and clerks,255.4283429,149.1765014,263.4883634,8.060020523,114.311862,4,,,,,
4423,"By-law enforcement and other regulatory officers, n.e.c.",161.0494581,158.2498248,169.1992242,8.14976609,10.9493994,4,,,,,
7315,Aircraft mechanics and aircraft inspectors,114.1553837,110.6310961,122.6087531,8.453369406,11.97765704,3,,,,,
212,Architecture and science managers,49.60856773,44.95188751,58.19696383,8.588396096,13.24507632,1,,,,,
2264,Construction inspectors,93.81894764,111.1424134,102.6621074,8.843159784,-8.480305945,2,,,,,
7311,Construction millwrights and industrial mechanics,101.3370479,93.56574407,110.2673462,8.930298306,16.70160216,3,,,,,
7512,"Bus drivers, subway operators and other transit operators",241.7921881,228.0363812,250.9483192,9.156131132,22.91193802,5,,,,,
9415,"Inspectors and testers, mineral and metal processing",259.4252146,309.6802591,268.9529108,9.527696255,-40.72734826,4,,,,,
9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",259.4252146,309.6802591,268.9529108,9.527696255,-40.72734826,4,,,,,
9465,"Testers and graders, food, beverage and associated products processing",259.4252146,309.6802591,268.9529108,9.527696255,-40.72734826,4,,,,,
9527,"Machine operators and inspectors, electrical apparatus manufacturing",259.4252146,309.6802591,268.9529108,9.527696255,-40.72734826,5,,,,,
9535,"Plastic products assemblers, finishers and inspectors",259.4252146,309.6802591,268.9529108,9.527696255,-40.72734826,5,,,,,
512,"Managers - publishing, motion pictures, broadcasting and performing arts",17.28638566,25.00411474,26.87318299,9.586797331,1.869068248,1,,,,,
7533,Boat and cable ferry operators and related occupations,117.8723409,114.1880964,127.5159431,9.643602112,13.32784668,5,,,,,
1452,"Correspondence, publication and regulatory clerks",232.6745638,212.6805034,242.6785369,10.00397301,29.9980335,4,,,,,
5244,Artisans and craftspersons,240.138727,244.3884495,250.4184433,10.27971631,6.029993804,2,,,,,
2223,Forestry technologists and technicians,111.1170599,93.50087905,121.6473086,10.53024873,28.14642955,2,,,,,
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",325.4557859,306.9341373,336.4676743,11.0118884,29.533537,2,,,,,
1435,Collectors,172.4236008,162.484295,183.673377,11.24977627,21.189082,4,,,,,
2171,Information systems analysts and consultants,7.572908367,18.56387108,19.75475146,12.1818431,1.190880381,1,,,,,
5121,Authors and writers,130.603997,191.3608533,142.9066102,12.30261313,-48.45424312,1,,,,,
4155,Probation and parole officers and related occupations,203.138849,181.3524654,215.907882,12.76903301,34.55541657,1,,,,,
6622,"Store shelf stockers, clerks and order fillers",400.74858,377.0666436,413.5792157,12.83063569,36.51257213,6,,,,,
2114,Meteorologists and climatologists,27.45729549,47.06149502,41.21286434,13.75556884,-5.848630681,1,,,,,
2234,Construction estimators,44.02635507,52.59380689,58.03238572,14.00603065,5.438578833,2,,,,,
3221,Denturists,108.0678134,113.0796935,122.2070992,14.13928583,9.127405742,2,,,,,
2161,"Mathematicians, statisticians and actuaries",20.84338696,23.45770601,35.17770569,14.33431873,11.71999968,1,,,,,
2282,User support technicians,11.60816582,12.90525414,26.89528563,15.28711981,13.99003149,2,,,,,
9436,Lumber graders and other wood processing inspectors and graders,326.6339995,368.3872231,341.9693146,15.33531516,-26.41790852,4,,,,,
5253,Sports officials and referees,413.8104682,387.8586674,429.3940504,15.58358222,41.53538303,2,,,,,
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",411.3366401,400.4250744,427.6669484,16.33030829,27.241874,3,,,,,
4312,Firefighters,82.21964253,91.63726762,99.05972304,16.84008051,7.422455411,3,,,,,
9472,"Camera, platemaking and other prepress occupations",65.23372658,67.02708452,82.5544359,17.32070933,15.52735139,4,,,,,
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",45.46136129,51.3236642,63.06714913,17.60578783,11.74348493,2,,,,,
2273,"Deck officers, water transport",90.98622411,114.1880964,109.3356895,18.34946537,-4.852406898,2,,,,,
9243,Water and waste treatment plant operators,121.7130254,124.6725062,140.7180685,19.0050431,16.04556231,2,,,,,
7242,Industrial electricians,65.18224239,92.27683272,84.84227321,19.66003081,-7.434559519,2,,,,,
2145,Petroleum engineers,20.73511721,23.13707763,40.65446298,19.91934576,17.51738535,1,,,,,
5243,"Theatre, fashion, exhibit and other creative designers",198.3880822,161.1052187,218.8471263,20.45904408,57.7419076,2,,,,,
122,"Banking, credit and other investment managers",115.9401107,116.5787948,136.6364645,20.69635377,20.05766967,2,,,,,
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
7203,"Contractors and supervisors, pipefitting trades",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
7204,"Contractors and supervisors, carpentry trades",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
7302,"Contractors and supervisors, heavy equipment operator crews",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,3,,,,,
8221,"Supervisors, mining and quarrying",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
8222,"Contractors and supervisors, oil and gas drilling and services",175.0724826,182.5091605,196.0598949,20.98741227,13.55073439,2,,,,,
2131,Civil engineers,14.3565327,9.527827778,35.40743531,21.05090261,25.87960753,1,,,,,
