"","PC1","PC2","PC3","PC4","PC5"
"4.A.2 Judging the Qualities of Things, Services, or People",-0.117247046699908,0.0368774323959311,-0.11037852276134,0.0483335334937843,-0.0330091331240604
"4.A.2 Making Decisions and Solving Problems",-0.138547017481045,0.0589282162846714,-0.0294209595921499,-0.00189350687782297,-0.0990056246586423
"4.A.2 Organizing, Planning, and Prioritizing Work",-0.138221182691378,0.00362232006333145,0.00762931295380951,0.0698975982037089,-0.04129614977142
"4.A.2 Processing Information",-0.117260270063858,0.0205485011410263,0.117008642463096,-0.0266785550160969,-0.195618983172797
"4.A.2 Scheduling Work and Activities",-0.131908774914256,0.0339203293633996,-0.0821829908269456,0.108341632883455,-0.0154731823221634
"4.A.2 Thinking Creatively",-0.112535127726838,0.0244545143751424,0.0359838927675352,0.0365585031920717,0.041235612564165
"4.A.2 Updating and Using Relevant Knowledge",-0.124103545071775,0.0377048402994574,0.0668614964170605,-0.0971638451059056,-0.150838085144314
"4.A.3 Controlling Machines and Processes",0.0765901300675709,0.162154543429241,-0.110449256696514,-0.0547279518305389,-0.0361121495813565
"4.A.3 Documenting/Recording Information",-0.104915550832005,0.00912089023208875,0.0336253098204852,-0.104451219236816,-0.224642725199989
"4.A.3 Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment",-0.00881324623803771,0.162464333103819,0.0453610817651938,0.0919524064114216,-0.0614297973797199
"4.A.3 Handling and Moving Objects",0.0962812701611616,0.114441938761414,-0.162165144893747,-0.0537835934306518,0.0228422159014193
"4.A.3 Interacting With Computers",-0.104404956589601,-0.00722132711285901,0.200066501239242,0.0496067012168085,-0.126379614294704
"4.A.3 Operating Vehicles, Mechanized Devices, or Equipment",0.0524985998108197,0.129711097047335,-0.148081302608058,-0.02148252398993,-0.0472735966231298
"4.A.3 Performing General Physical Activities",0.074996037982632,0.101368592756245,-0.188057814061489,-0.0582312021070127,0.0146426636890887
"4.A.3 Repairing and Maintaining Electronic Equipment",0.0227951449970288,0.163888679965109,-0.0130490101250324,-0.0289967677725902,-0.0614258859380456
